module,loc,screens,risk,score
apps/petstore,5640,67,high,95
waf,5590,0,high,90
apps/admin,4746,4,medium,70
apps/opc,3145,1,low,30
components/catalog,2521,0,high,85
apps/supplier,2260,7,medium,65
components/xmldocuments,1932,0,medium,55
components/signon,1047,0,high,80
components/purchaseorder,949,0,high,82
components/processmanager,785,0,medium,60
components/supplierpo,759,0,medium,58
components/customer,724,0,high,78
components/mailer,593,0,low,25
components/servicelocator,658,0,low,20
components/contactinfo,498,0,medium,50
components/cart,494,0,high,75
components/lineitem,477,0,medium,45
components/creditcard,368,0,high,88
components/address,438,0,medium,48
components/uidgen,360,0,low,15
components/asyncsender,263,0,low,22
components/encodingfilter,80,0,low,10
